geoName,year,NIH,abdominal,aerobic exercise,apnea,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,calories,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,diet,dietary,dresses plus size,e-bike,ejercicios,endocrine,exercise,exercises,fitbit,fitness,fitness gym,food delivery near me,gastric,glucose,glycogen,gym,gym near me,healthy,how to exercise,how to lose weight,hyperglycemia,hypertension,iPod,icd 10 codes,inactivity,insanity workout,insulin,insulin syringes,ipod reset,jogging,ketoacidosis,malnutrition,meals,my fitness pal,nutrition,obese,obesity,pizza delivery,polyphagia,pre workout,prediabetes,quinoa gluten free,sclerosis,signs of diabetes,slim,sugar level,symptoms of congestive heart failure,symptoms of diabetes,symptoms of high blood sugar,t25 schedule,trainer,type 2,type 2 diabetes,unhealthy,visceral,weighing,weight loss,wellness,workout,yoga
Kansas,2004,7,55,45,44,28,9,0,0,72,32,59,79,69,65,0,19,19,63,70,27,0,75,29,11,80,24,44,79,89,0,66,36,0,45,40,37,41,0,70,44,40,29,42,56,0,42,0,60,0,0,48,12,43,75,0,68,24,66,54,45,0,0,0,73,36,65,22,0,33,0,0,83,35,34,44,43,34,62,28,94,40
Kentucky,2004,11,76,42,62,35,12,0,0,60,22,55,77,85,75,0,12,36,57,51,22,43,83,51,23,100,60,64,67,85,0,57,37,0,61,57,23,49,0,78,82,57,18,77,42,0,53,0,57,0,0,49,0,36,54,0,71,49,91,23,0,0,0,0,98,0,52,19,0,52,0,0,86,50,42,37,27,21,70,39,65,45
Louisiana,2004,7,69,32,42,27,9,0,0,45,19,70,75,82,78,11,0,30,63,66,51,0,84,32,34,76,45,49,78,82,0,61,40,0,64,69,35,46,0,63,89,16,41,61,45,0,40,0,64,0,0,46,18,20,66,0,65,51,60,17,0,0,0,0,72,21,100,28,0,55,0,0,85,25,43,21,31,40,67,29,97,38
Maine,2004,6,59,36,28,46,15,0,0,0,33,70,80,62,59,27,62,0,57,44,28,0,76,12,35,0,0,83,66,78,0,64,68,0,42,74,30,60,0,100,41,55,24,90,58,0,68,0,68,0,0,54,20,35,77,0,65,63,81,20,0,0,0,0,84,0,40,24,0,54,0,0,57,31,29,56,0,27,59,40,60,66
Maryland,2004,100,69,18,45,19,16,72,24,22,32,51,89,90,75,12,4,44,69,49,23,33,72,37,13,0,22,55,77,71,0,81,71,0,43,89,18,82,0,67,22,49,31,65,70,0,17,0,53,69,45,53,10,28,68,0,71,41,59,59,18,0,15,0,77,8,53,15,0,39,0,0,59,28,25,34,30,41,60,38,56,58
Massachusetts,2004,21,70,31,40,17,8,34,50,32,22,59,93,70,69,5,11,27,53,31,15,0,65,37,13,32,19,56,72,70,0,75,77,0,38,76,30,100,0,65,30,37,9,55,81,0,26,0,53,54,70,58,6,22,63,0,72,38,59,67,9,4,4,0,74,12,48,13,0,35,0,0,54,21,28,22,17,35,49,36,78,88
Michigan,2004,10,72,19,33,26,8,63,17,13,29,59,80,63,67,8,16,35,51,57,36,29,79,32,17,22,22,53,76,78,0,66,61,0,36,51,7,54,0,70,35,62,37,56,62,0,47,0,65,0,24,44,14,30,73,0,73,50,68,20,13,5,0,0,87,20,57,17,47,35,26,0,73,34,40,23,12,17,65,29,83,44
Minnesota,2004,9,63,29,53,24,9,58,48,40,34,46,81,68,71,7,20,15,49,49,24,33,68,36,14,31,22,43,82,73,0,89,32,0,59,71,22,45,0,69,49,60,20,60,61,0,27,0,54,69,100,39,11,28,89,0,80,44,63,42,27,0,7,0,83,8,42,15,0,16,73,0,64,31,35,36,25,30,67,46,67,53
Mississippi,2004,5,66,53,100,33,0,0,0,0,21,100,66,100,91,26,22,74,100,100,100,0,100,39,17,0,0,73,89,94,0,58,32,0,43,44,44,52,0,83,66,80,34,100,45,0,100,0,69,0,0,71,29,51,66,0,57,85,100,57,0,0,0,0,100,51,81,47,0,39,0,0,81,33,64,0,51,0,89,45,95,33
Missouri,2004,10,80,39,35,20,15,44,24,16,20,77,88,83,79,12,18,20,57,69,45,27,77,36,20,31,9,70,76,81,0,76,46,0,47,72,12,53,0,64,32,40,14,67,52,0,75,0,72,0,34,51,16,28,74,0,75,41,65,38,18,0,0,0,92,11,62,22,100,23,37,0,73,26,37,31,8,22,71,23,94,44
Montana,2004,10,60,0,55,100,100,0,0,86,62,50,63,76,69,0,100,68,56,48,62,0,81,59,26,0,0,55,100,95,0,57,32,0,48,76,67,33,0,77,0,0,52,46,50,0,0,0,52,0,0,48,44,77,60,0,75,97,98,43,0,0,0,0,99,77,44,53,0,59,0,0,70,34,72,53,0,0,62,14,79,68
Nebraska,2004,12,74,46,39,28,13,0,0,64,23,83,72,69,74,20,12,42,80,47,46,0,75,51,10,0,32,73,73,93,0,70,44,0,34,40,33,52,0,75,59,100,39,48,43,0,0,0,70,0,0,36,34,29,70,0,73,60,79,32,0,0,25,0,85,29,70,20,0,33,0,0,73,41,97,39,0,34,81,44,77,31
Nevada,2004,5,61,33,29,20,27,0,0,69,29,61,66,56,64,0,27,54,45,50,59,50,65,24,21,0,0,30,63,53,0,87,73,0,30,47,0,61,0,53,68,33,42,31,56,0,61,0,45,0,0,48,36,62,54,0,65,52,52,26,0,0,0,0,51,31,51,43,0,36,0,0,86,37,29,42,0,24,79,26,79,48
New Hampshire,2004,12,67,0,31,36,14,0,0,37,47,40,91,60,63,0,14,0,65,62,0,0,76,51,17,0,0,24,69,66,0,60,69,0,49,96,29,81,0,85,0,35,23,49,67,0,0,0,52,0,0,70,19,50,66,0,68,55,53,38,0,0,0,0,73,33,38,46,0,26,0,0,61,18,31,46,33,0,53,42,68,67
New Jersey,2004,9,68,24,36,18,12,27,23,10,19,62,82,78,66,7,13,15,41,38,14,9,66,30,11,0,28,55,68,78,0,76,76,0,31,69,17,93,0,62,37,53,5,55,86,0,31,0,53,86,28,45,7,18,59,0,62,38,55,22,0,5,7,0,64,13,54,11,41,12,23,0,62,23,35,27,11,30,48,39,82,64
New Mexico,2004,16,72,45,57,28,19,0,0,0,46,82,72,90,89,29,19,38,77,65,54,0,74,47,0,0,95,75,83,77,0,56,65,0,34,85,75,62,0,47,0,34,29,84,50,0,84,0,66,0,0,42,50,43,60,0,67,45,64,48,0,0,37,0,58,43,36,30,0,50,0,0,53,56,81,29,0,33,67,100,61,61
New York,2004,12,64,23,36,16,8,34,24,12,19,58,94,72,63,6,9,26,46,39,20,13,64,32,17,0,25,74,62,71,0,71,84,0,37,58,21,99,0,73,40,44,24,49,100,0,21,0,49,32,58,54,9,28,57,0,66,41,57,36,4,3,3,0,72,10,55,15,0,30,9,0,60,23,31,27,18,21,54,32,76,100
North Carolina,2004,19,65,19,51,20,9,36,20,23,30,59,82,82,77,11,4,28,59,52,27,17,76,37,15,0,31,61,75,83,0,73,53,0,54,64,14,67,0,70,36,59,21,59,50,0,23,0,61,57,35,64,16,19,73,0,67,49,76,33,0,0,6,0,80,38,47,11,55,53,0,0,70,32,45,22,14,31,66,60,71,56
North Dakota,2004,8,72,0,71,65,43,0,0,0,100,47,87,59,87,0,44,0,74,50,0,0,82,44,100,0,0,0,61,69,0,64,63,0,73,100,88,33,0,79,87,52,0,87,43,0,0,0,96,0,0,42,0,100,95,0,100,83,75,84,0,0,0,0,68,100,75,70,0,77,0,0,62,65,62,69,100,0,88,37,72,20
Ohio,2004,9,66,38,45,20,7,40,15,25,21,59,78,66,70,7,9,27,62,54,27,12,72,32,19,0,15,47,73,74,0,68,53,0,48,77,30,56,0,73,31,38,14,64,53,0,20,0,61,0,34,47,10,17,69,0,73,70,61,34,16,4,7,0,67,14,53,14,54,49,22,0,68,31,34,32,21,19,65,35,86,39
Oklahoma,2004,7,61,24,50,15,10,0,0,51,27,78,62,68,77,0,10,40,59,68,77,36,80,30,23,0,0,54,73,76,0,58,35,0,58,71,26,59,0,74,60,66,31,63,48,0,89,0,33,0,0,48,13,68,78,0,73,28,71,26,0,0,20,0,43,23,48,26,0,44,100,0,73,25,57,31,23,29,79,20,79,27
Oregon,2004,12,51,25,35,15,10,60,100,39,38,42,85,71,71,8,10,31,54,51,27,56,73,27,22,0,13,50,66,66,0,79,36,0,41,69,14,62,0,75,26,25,28,55,68,0,46,0,46,0,86,47,16,51,68,0,72,39,66,36,25,10,21,0,78,31,47,11,0,23,51,0,73,41,34,37,24,18,73,43,72,70
Pennsylvania,2004,15,75,10,43,14,16,77,18,19,22,57,82,71,73,7,15,37,59,51,18,24,75,35,14,0,13,57,72,85,0,69,62,0,50,76,31,73,0,67,26,43,23,68,65,0,25,0,54,35,42,47,16,30,67,0,69,46,67,48,9,4,7,0,92,11,61,17,33,40,19,0,62,34,40,42,32,21,63,29,76,49
Rhode Island,2004,7,85,57,28,35,63,0,0,40,51,56,94,75,67,19,31,32,24,31,19,57,70,52,12,0,40,34,83,73,0,66,100,0,51,63,0,84,0,66,47,38,0,32,66,0,0,0,67,0,0,61,21,60,69,0,66,55,58,20,0,0,0,0,44,36,43,0,0,28,0,0,62,24,38,49,36,42,57,37,80,69
South Carolina,2004,7,94,44,29,18,9,0,0,23,28,79,75,80,78,11,9,48,57,60,59,33,79,32,17,0,0,72,78,82,0,72,46,0,48,90,18,51,0,63,54,32,42,64,41,0,40,0,50,0,0,49,12,41,76,0,68,46,59,17,0,0,18,0,66,21,54,24,0,32,0,0,70,23,26,33,21,32,63,30,87,40
South Dakota,2004,4,100,0,70,0,0,0,0,100,36,69,83,99,100,92,0,0,73,60,48,0,67,50,0,0,100,57,86,95,0,63,37,0,66,34,78,15,0,85,79,47,61,62,32,0,0,0,43,0,0,38,0,0,79,0,82,100,86,100,0,0,0,0,72,0,54,0,0,0,0,0,71,78,84,92,89,70,77,55,81,38
