geoName,year,NIH,abdominal,aerobic exercise,apnea,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,calories,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,diet,dietary,dresses plus size,e-bike,ejercicios,endocrine,exercise,exercises,fitbit,fitness,fitness gym,food delivery near me,gastric,glucose,glycogen,gym,gym near me,healthy,how to exercise,how to lose weight,hyperglycemia,hypertension,iPod,icd 10 codes,inactivity,insanity workout,insulin,insulin syringes,ipod reset,jogging,ketoacidosis,malnutrition,meals,my fitness pal,nutrition,obese,obesity,pizza delivery,polyphagia,pre workout,prediabetes,quinoa gluten free,sclerosis,signs of diabetes,slim,sugar level,symptoms of congestive heart failure,symptoms of diabetes,symptoms of high blood sugar,t25 schedule,trainer,type 2,type 2 diabetes,unhealthy,visceral,weighing,weight loss,wellness,workout,yoga
North Dakota,2007,6,100,0,100,46,73,0,0,0,49,50,100,97,80,0,60,97,59,58,97,0,71,89,27,0,0,67,97,100,0,59,19,0,85,64,100,36,0,93,44,94,87,72,69,0,0,0,80,0,0,68,0,69,76,0,76,34,84,33,0,100,0,0,70,100,63,56,0,36,0,0,51,63,60,65,100,65,77,68,84,26
Ohio,2007,7,82,39,50,50,30,79,54,48,38,81,85,79,73,17,41,36,77,56,53,17,77,61,36,0,4,42,82,80,0,55,54,0,59,86,26,64,0,79,41,72,45,68,70,0,21,0,60,47,52,56,27,31,66,27,73,71,56,38,24,29,20,23,71,34,69,34,50,49,60,0,79,67,55,49,33,38,81,37,88,31
Oklahoma,2007,4,73,41,61,65,27,0,0,24,52,80,77,70,73,14,32,65,79,66,70,20,85,68,38,0,5,49,77,76,0,53,46,0,64,78,25,48,0,88,53,59,41,72,71,0,24,0,57,58,0,52,39,36,74,0,69,91,59,41,89,33,29,0,63,49,81,42,0,54,76,0,82,56,59,43,78,29,90,26,93,24
Oregon,2007,7,64,45,56,29,57,100,100,78,67,59,86,69,68,7,21,48,75,57,35,13,75,58,29,100,8,38,80,64,0,80,41,0,39,75,26,59,0,84,35,55,47,53,79,0,18,0,64,0,74,73,28,36,60,0,67,82,58,79,22,23,23,100,77,31,70,24,0,34,30,0,81,73,58,65,52,46,75,50,67,67
Pennsylvania,2007,11,84,32,57,54,26,72,47,33,39,82,89,78,76,17,41,55,69,52,44,19,75,66,35,36,7,47,81,82,0,60,71,0,66,77,31,76,0,82,58,62,42,68,76,16,28,0,72,43,52,49,31,28,61,0,64,87,66,53,19,26,18,0,75,29,74,51,89,55,39,0,69,66,57,54,46,42,68,38,83,44
Rhode Island,2007,10,78,40,54,52,43,0,0,65,51,78,88,75,66,17,50,82,84,44,29,22,72,47,51,0,17,36,87,75,0,56,100,0,47,67,22,92,0,70,55,72,48,55,76,0,32,0,54,0,0,54,14,60,59,0,67,71,60,72,0,40,0,0,56,20,58,52,0,57,0,0,77,58,33,45,46,51,64,37,86,58
South Carolina,2007,7,81,24,63,55,24,43,0,32,45,82,74,77,72,15,43,47,66,68,88,37,84,59,45,0,11,49,86,85,0,58,70,0,66,70,31,57,0,71,60,74,37,62,66,0,26,0,63,0,52,53,41,34,72,99,59,57,58,57,0,39,25,0,66,20,77,55,0,62,50,0,70,72,60,54,49,51,79,33,93,35
South Dakota,2007,4,90,0,60,58,28,0,0,57,58,86,99,65,81,0,56,64,87,68,57,0,76,100,56,0,12,49,100,84,0,53,46,0,55,56,52,45,0,97,69,73,54,86,70,0,0,0,81,0,0,59,80,82,71,0,72,99,80,41,0,79,100,0,73,58,63,65,0,35,0,0,76,92,94,75,97,61,91,84,91,19
Tennessee,2007,9,93,18,66,55,27,42,34,40,48,85,79,82,79,11,39,38,71,73,74,14,91,66,46,0,7,59,85,81,0,51,47,0,75,81,35,51,0,74,67,83,53,84,68,50,38,0,68,33,43,60,27,39,63,0,64,69,60,50,52,13,37,0,75,46,73,58,62,49,78,0,79,74,60,57,60,42,88,32,92,31
Texas,2007,6,69,35,52,55,31,13,31,35,31,68,77,77,70,15,31,44,72,60,54,18,83,56,36,31,23,47,73,71,0,79,67,0,59,77,23,72,0,73,45,68,39,61,74,9,21,0,56,47,50,60,21,25,69,12,61,57,48,59,25,19,20,11,57,37,84,53,40,40,23,0,80,63,54,42,42,31,77,33,94,40
Utah,2007,6,64,71,52,54,48,45,72,41,75,64,74,71,70,11,37,46,90,45,38,19,73,60,33,0,8,32,87,69,0,73,79,0,55,59,25,89,0,82,71,68,31,57,100,0,44,0,66,0,100,83,11,29,70,0,70,69,66,31,41,21,18,0,62,73,79,35,0,54,53,0,83,67,58,80,31,35,71,31,78,42
Vermont,2007,11,82,0,54,26,100,0,0,100,90,68,85,64,63,0,44,51,70,54,0,0,70,55,53,0,0,96,70,86,0,71,53,0,42,71,31,55,0,100,54,48,63,67,79,0,0,0,44,0,0,75,48,64,52,0,69,55,68,36,0,0,0,0,94,0,61,0,0,25,0,0,68,69,21,89,91,60,53,51,69,100
Virginia,2007,14,73,31,53,48,31,34,27,34,33,65,77,74,68,14,32,48,66,47,39,13,69,57,33,0,100,39,75,73,0,60,63,0,55,65,24,80,12,74,52,62,43,56,73,0,28,0,52,48,53,62,20,29,62,0,62,56,50,53,31,14,24,23,58,33,74,54,50,40,31,0,70,63,57,37,45,29,65,32,89,46
Washington,2007,7,68,30,54,47,54,66,73,69,45,62,83,69,67,13,36,30,74,47,44,16,71,59,26,26,4,37,72,66,0,76,70,0,46,72,34,65,0,78,51,54,37,54,79,31,19,0,59,24,67,69,19,29,61,0,64,57,48,100,20,15,19,27,64,23,73,38,58,42,31,0,79,68,47,57,50,36,64,34,71,64
West Virginia,2007,8,94,85,53,52,34,0,0,0,63,94,70,85,100,100,100,77,59,100,89,100,95,75,100,0,0,62,94,90,0,34,32,0,100,100,62,41,0,79,100,86,75,86,58,0,74,0,75,0,0,38,64,81,62,0,62,63,100,18,0,0,0,0,89,46,69,78,0,100,0,0,68,73,77,75,92,36,94,33,78,26
Wisconsin,2007,7,81,31,60,50,36,77,61,50,43,55,87,71,70,22,34,59,68,56,35,28,69,79,35,0,10,58,80,75,0,62,39,0,55,76,32,45,24,91,54,58,28,74,71,39,24,0,62,52,58,59,23,21,72,0,72,77,60,52,27,20,29,0,74,39,67,42,73,49,26,0,70,78,65,61,51,29,73,50,73,37
Wyoming,2007,2,79,0,54,100,43,0,0,65,66,60,84,48,71,0,0,100,77,49,0,0,75,71,48,0,0,82,74,74,0,40,42,0,69,69,0,47,0,70,53,53,62,71,79,0,0,0,39,0,0,73,42,0,100,0,63,71,60,31,0,0,0,0,83,0,87,0,0,53,0,0,100,75,81,39,59,46,73,48,94,53
Alabama,2008,7,92,77,78,70,31,0,0,26,28,73,76,88,86,32,50,61,68,87,100,77,97,75,75,0,1,74,91,91,0,43,52,0,91,75,72,59,0,64,72,83,63,85,66,0,100,100,66,52,44,59,53,20,88,0,70,67,59,50,71,14,36,0,79,47,67,78,46,67,0,0,77,79,57,69,57,30,100,42,92,23
Alaska,2008,3,92,0,68,66,49,0,0,64,45,56,73,57,72,0,39,23,47,55,0,0,80,57,85,0,4,53,76,72,0,41,48,0,61,56,30,76,0,68,60,58,38,39,85,72,0,0,45,0,0,47,27,54,61,100,59,79,38,29,0,45,0,0,71,0,65,0,0,50,0,0,97,60,74,33,50,16,69,38,73,47
Arizona,2008,4,71,61,72,70,35,41,47,46,50,70,80,75,70,38,41,43,55,62,47,55,86,60,39,33,5,69,82,74,34,97,66,0,49,78,31,72,0,69,47,61,38,64,77,9,27,0,54,53,51,51,38,32,69,12,72,62,45,94,13,28,15,0,70,29,68,61,37,46,19,0,92,64,54,47,50,21,74,42,87,58
Arkansas,2008,4,80,72,83,45,33,0,0,33,28,75,78,77,86,46,41,37,66,82,78,100,92,68,70,0,4,93,84,82,0,49,48,0,59,75,63,63,0,68,61,81,64,89,63,38,52,0,56,0,0,59,35,28,73,53,68,63,60,68,42,71,41,0,79,70,81,68,0,78,0,0,88,67,55,79,47,34,82,32,86,28
California,2008,6,60,33,58,52,50,32,60,38,37,50,69,60,64,24,34,52,40,41,29,20,61,53,30,28,47,52,65,60,31,75,54,0,39,63,41,63,3,63,44,52,26,47,77,5,32,0,44,29,59,47,23,21,49,6,57,52,40,78,13,18,23,34,47,21,73,47,10,35,13,0,81,51,42,57,57,23,47,32,62,60
Colorado,2008,6,73,43,76,68,48,64,58,60,71,58,80,74,71,32,51,31,56,54,37,44,78,71,34,30,3,65,87,79,41,82,46,0,45,78,47,63,0,69,58,56,30,62,82,12,23,0,58,46,56,57,46,26,76,0,71,60,48,89,21,15,27,100,66,35,72,39,0,46,17,0,88,59,57,55,55,27,68,43,76,79
Connecticut,2008,10,86,41,70,73,43,49,16,36,38,60,85,82,78,49,72,36,54,51,42,54,79,72,44,90,3,70,82,82,0,71,79,0,55,80,61,83,13,66,51,64,38,68,86,13,29,0,71,0,59,49,33,29,64,28,68,64,50,71,25,13,26,83,78,36,69,60,0,54,48,0,83,62,74,62,58,36,63,43,82,62
Delaware,2008,9,95,59,85,65,48,0,0,0,57,57,100,100,91,80,66,71,50,60,63,0,92,73,76,0,5,81,89,78,0,58,65,0,68,87,44,81,0,82,64,81,29,100,81,0,0,0,88,0,0,30,60,54,77,0,75,100,64,72,0,68,0,0,67,100,69,97,0,75,0,0,77,49,80,92,45,100,73,40,91,51
District of Columbia,2008,27,72,34,73,49,44,0,35,34,35,57,97,73,72,26,28,31,49,52,35,26,72,62,40,19,3,57,82,72,21,68,79,0,45,62,30,100,0,66,47,64,26,65,78,8,59,0,44,0,0,52,22,28,63,12,76,57,49,92,24,21,25,0,60,23,72,65,0,47,24,0,78,43,45,56,54,25,60,38,78,66
Florida,2008,4,85,42,71,68,37,36,28,28,40,74,72,79,68,42,52,46,46,64,59,48,87,67,45,17,13,64,78,79,30,66,74,0,49,70,46,82,0,75,61,72,44,67,76,8,32,0,61,51,52,52,34,26,70,11,61,69,44,78,31,28,18,31,61,26,75,67,35,44,33,0,93,55,55,53,57,27,78,39,84,39
Georgia,2008,6,78,55,73,65,29,42,21,36,31,66,77,81,73,32,40,45,56,64,57,36,88,60,60,15,4,69,82,79,13,68,63,0,57,71,34,68,0,64,60,76,39,68,74,10,51,0,57,28,57,56,38,26,80,9,66,63,49,62,11,30,22,0,61,30,77,67,35,52,14,0,87,60,49,51,45,22,85,40,87,35
Hawaii,2008,6,87,65,55,73,52,0,0,79,38,100,68,79,68,29,43,60,61,42,33,36,77,73,57,0,3,68,86,81,100,69,44,0,54,76,39,59,0,71,64,76,25,60,100,0,49,0,65,0,0,98,30,16,57,0,66,83,55,63,0,49,43,0,41,18,69,35,0,50,0,0,94,58,49,89,44,21,51,33,84,80
Idaho,2008,3,73,42,77,68,75,0,0,63,80,66,85,65,79,44,44,73,68,62,40,69,85,84,32,0,4,75,92,83,0,51,47,0,40,89,64,77,0,72,44,69,46,72,82,0,48,0,69,0,0,53,38,47,90,0,72,79,68,54,57,49,85,0,84,64,64,58,0,71,0,0,100,63,68,68,64,31,82,37,89,33
Illinois,2008,7,77,53,70,70,42,18,50,40,35,57,88,73,79,28,45,37,56,62,43,51,77,73,49,16,4,62,81,79,22,81,58,21,42,75,45,68,4,69,56,67,37,63,76,13,42,0,56,35,51,51,40,24,64,8,80,69,47,79,18,18,23,27,65,25,72,63,28,51,35,0,78,54,55,57,71,32,68,46,84,48
Indiana,2008,7,86,76,88,69,12,32,18,21,28,66,85,84,97,47,70,62,67,79,72,83,84,81,67,34,3,82,85,82,0,60,39,0,49,95,45,50,0,84,58,87,52,83,73,0,38,0,100,74,51,54,72,37,76,21,82,92,76,57,34,34,46,0,83,21,66,80,49,71,33,0,88,82,79,76,66,25,76,40,78,32
Iowa,2008,7,86,46,63,75,55,0,0,35,42,50,89,77,87,52,35,83,57,68,44,50,80,100,52,0,2,82,92,88,0,68,36,0,61,88,90,45,0,81,62,66,43,65,71,0,70,0,83,0,48,46,37,47,90,0,87,67,66,68,62,18,39,0,75,17,58,67,0,88,0,0,69,77,70,53,75,37,78,46,83,30
Kansas,2008,5,84,45,77,65,25,0,0,39,28,60,86,78,72,31,40,38,56,80,60,31,83,69,52,52,3,51,83,76,0,52,33,0,49,82,68,53,0,75,57,74,52,59,77,0,57,0,73,0,0,53,22,25,93,0,79,72,54,63,26,73,0,0,64,18,79,56,0,59,100,0,97,58,67,40,68,30,86,40,98,30
Kentucky,2008,5,98,72,89,83,33,0,0,29,38,67,84,75,91,47,52,53,79,77,82,54,91,95,89,45,3,67,90,90,51,50,46,0,66,81,48,52,0,76,75,82,68,78,68,20,44,0,80,48,52,53,49,25,76,28,80,92,77,51,45,13,25,0,71,44,68,100,100,72,73,0,88,67,67,88,56,23,91,40,84,29
Louisiana,2008,6,90,57,70,59,16,0,0,32,33,78,73,76,78,45,55,45,52,70,83,18,94,88,100,0,2,78,85,84,52,58,34,100,81,90,43,48,0,66,64,85,55,84,69,41,28,0,70,82,0,61,35,29,72,29,65,75,57,45,30,26,23,0,58,35,100,80,0,67,44,0,77,63,51,49,46,24,86,32,95,28
Maine,2008,5,88,36,76,82,38,0,0,51,26,45,81,85,85,43,48,34,61,58,60,39,80,90,58,0,0,97,81,86,0,58,58,0,66,78,45,68,0,81,57,61,35,77,77,44,95,0,78,0,0,44,58,36,76,62,68,91,54,47,48,0,36,0,73,27,60,33,0,61,0,0,98,72,71,72,49,20,61,45,70,62
Maryland,2008,100,91,55,80,56,34,58,18,40,29,57,87,86,84,43,47,47,56,56,32,27,76,83,53,23,4,95,93,82,0,67,80,0,53,95,66,94,0,69,52,68,35,83,77,20,44,0,69,49,58,55,34,26,75,24,79,66,70,83,26,22,36,62,71,17,69,45,0,57,36,0,85,65,64,57,63,35,68,44,78,55
Massachusetts,2008,15,80,32,83,74,44,40,46,31,31,58,92,81,83,43,53,37,54,48,31,35,74,60,45,25,2,76,83,78,42,70,86,0,53,85,58,99,0,67,54,57,41,68,83,11,46,0,72,26,66,62,27,32,63,8,72,65,50,74,24,40,20,84,82,20,63,50,0,42,8,0,79,50,54,56,72,28,59,42,77,81
Michigan,2008,7,80,43,73,62,45,39,26,41,41,66,79,73,74,44,53,52,53,63,54,40,83,83,50,33,3,67,85,77,19,62,50,0,48,80,49,57,0,72,55,68,42,70,82,0,48,0,72,30,51,53,36,29,68,24,73,79,65,60,30,25,16,46,73,31,70,50,23,56,37,0,85,72,58,73,61,25,76,36,79,42
Minnesota,2008,7,81,48,77,59,58,57,66,55,36,48,90,71,82,40,60,49,60,58,41,41,76,78,36,21,2,70,85,79,23,100,40,0,59,83,37,49,0,72,62,66,50,75,76,19,54,0,72,22,67,53,48,34,81,13,86,73,59,79,27,17,35,56,73,39,71,42,0,51,0,0,70,71,53,54,52,32,72,57,68,49
Mississippi,2008,4,72,22,79,74,27,0,0,0,32,75,73,89,80,39,73,35,65,77,83,72,100,65,95,0,3,86,88,83,0,60,54,0,66,69,50,50,0,73,81,83,32,84,72,0,56,0,62,0,0,49,60,43,72,0,63,74,69,43,88,50,66,0,68,31,83,66,0,70,58,0,84,46,59,47,39,49,89,36,100,29
Missouri,2008,7,89,54,81,73,40,34,24,28,38,65,89,80,83,48,45,44,59,76,62,37,87,71,57,36,2,70,84,80,0,69,55,0,56,82,54,63,0,72,55,72,57,82,71,8,48,0,77,59,53,55,58,33,80,17,81,81,54,55,23,23,34,50,78,24,77,39,52,67,29,0,84,66,53,50,64,31,80,32,92,37
Montana,2008,7,83,0,100,52,57,0,0,52,100,54,76,75,80,38,48,51,78,65,66,0,79,83,48,0,0,48,84,77,0,55,47,0,57,67,32,64,0,77,51,61,35,60,76,0,0,0,79,0,0,56,59,32,72,0,63,86,49,52,0,49,65,0,76,24,59,35,0,100,0,0,89,89,75,100,33,36,71,33,78,54
Nebraska,2008,6,70,68,98,80,48,0,0,40,21,56,93,77,95,26,65,74,74,69,42,48,82,81,44,0,1,63,89,87,91,74,41,0,56,88,44,50,0,77,49,72,38,81,73,0,55,0,69,85,0,57,100,53,76,75,100,90,67,49,0,22,44,0,81,27,63,42,0,70,0,0,86,68,91,88,30,19,80,41,91,30
Nevada,2008,3,75,21,72,61,30,0,0,40,53,68,76,66,71,31,28,42,47,62,35,69,79,59,42,95,5,54,73,73,98,69,47,0,50,60,21,83,0,65,72,72,39,58,71,26,47,0,42,0,0,50,29,25,64,36,70,69,39,96,56,16,42,0,55,32,74,30,0,35,37,0,99,58,49,61,21,8,67,39,75,48
New Hampshire,2008,8,83,48,87,61,25,0,0,51,23,51,79,82,72,43,37,33,59,58,34,58,74,62,40,0,1,72,82,89,0,71,59,0,44,77,67,83,0,86,51,50,39,59,81,44,81,0,65,0,0,51,33,33,81,61,70,63,53,49,0,0,54,0,77,27,54,52,0,65,0,0,89,66,58,54,82,37,56,53,82,68
New Jersey,2008,6,76,52,64,71,44,22,37,36,31,74,82,79,71,29,46,34,49,48,35,45,76,64,48,28,6,58,80,80,30,68,81,0,44,71,45,98,5,66,66,77,30,70,90,5,35,0,54,17,62,50,28,30,61,20,66,67,48,60,12,40,18,29,70,22,76,68,20,38,27,0,87,52,53,61,48,30,63,41,90,56
New Mexico,2008,9,77,65,98,63,46,0,0,48,48,76,62,76,90,53,76,31,58,65,53,42,81,86,42,0,8,65,86,88,0,59,38,0,65,94,53,66,0,69,50,53,47,84,74,0,44,0,56,0,0,57,36,32,72,0,63,58,51,52,53,45,39,0,73,52,61,32,0,83,0,0,75,67,74,45,40,36,67,100,79,62
New York,2008,8,75,40,59,68,42,24,41,30,25,67,93,72,66,29,37,40,43,46,28,24,72,57,46,15,5,73,74,73,21,62,70,10,46,64,53,97,0,73,53,68,35,66,86,4,36,0,51,20,66,49,27,23,55,10,66,66,51,58,20,21,20,32,65,23,78,51,16,42,13,0,79,50,43,63,66,29,56,34,77,77
North Carolina,2008,11,89,49,82,63,41,38,12,38,43,63,78,84,78,32,64,50,66,70,53,60,87,74,63,15,3,100,88,83,17,67,56,0,67,78,51,76,0,72,76,72,42,81,75,7,39,0,73,32,50,56,47,34,81,9,75,73,67,70,17,21,33,41,74,32,78,67,42,55,24,0,82,63,54,65,64,34,85,53,86,46
North Dakota,2008,5,100,0,62,47,44,0,0,0,27,46,87,86,92,0,100,100,37,70,50,0,78,46,54,0,0,95,95,87,0,51,29,0,71,95,57,49,100,88,100,87,27,98,69,0,0,0,93,0,0,45,95,68,100,0,88,76,80,23,0,64,0,0,100,0,66,76,0,71,0,0,84,82,67,55,99,35,77,69,91,29
Ohio,2008,6,93,51,76,71,35,30,20,25,33,71,85,78,75,47,56,44,65,69,58,72,81,85,55,38,2,71,87,82,37,58,50,0,53,81,43,57,0,81,57,78,43,76,74,6,50,0,66,28,56,48,41,30,77,8,81,82,56,45,21,22,25,53,76,28,65,63,41,55,25,0,86,67,69,67,60,36,76,42,85,34
Oklahoma,2008,4,93,57,87,69,36,0,0,34,49,73,81,70,82,37,77,56,65,96,85,62,94,75,85,0,2,55,83,84,0,53,50,0,59,76,42,58,0,74,41,74,48,79,70,23,32,0,63,0,0,45,52,40,73,33,76,79,58,65,26,29,57,0,74,25,74,62,0,62,50,0,96,70,51,52,55,34,87,32,93,28
Oregon,2008,6,69,53,78,48,100,100,100,71,45,56,90,72,75,24,55,39,56,58,44,29,82,79,33,29,3,57,80,68,32,78,51,0,47,82,45,59,0,74,52,46,28,60,81,0,89,0,68,46,66,68,36,37,69,0,70,81,56,96,24,12,21,78,75,34,72,57,0,39,0,0,92,61,44,62,54,24,70,59,64,65
Pennsylvania,2008,10,93,52,72,65,37,46,39,27,35,69,87,80,80,50,56,48,62,64,45,43,79,82,55,16,2,69,87,90,11,63,65,0,63,87,49,78,0,70,71,78,45,73,79,6,56,0,70,53,55,51,47,31,71,12,72,77,60,65,23,23,25,40,81,44,71,70,34,70,19,0,81,62,57,53,53,35,72,44,83,46
Rhode Island,2008,11,84,24,91,100,63,0,0,48,47,75,83,71,72,26,37,24,67,47,28,39,79,81,48,0,5,63,76,87,0,58,100,0,44,61,54,94,0,71,82,78,50,58,85,0,93,0,49,0,0,68,32,29,62,0,76,82,72,82,0,27,36,0,80,33,73,58,0,65,0,0,72,54,51,60,66,30,65,44,89,59
South Carolina,2008,6,88,40,86,79,30,32,0,32,44,71,74,77,82,31,51,45,56,67,80,37,94,58,76,0,1,78,89,94,0,58,56,0,59,81,26,70,0,72,56,84,41,77,73,21,39,0,60,100,47,60,23,19,84,29,68,66,55,64,57,13,17,0,64,36,79,65,0,65,75,0,85,63,43,63,70,22,86,44,97,36
South Dakota,2008,5,97,0,61,64,54,0,0,27,38,60,86,79,95,74,59,78,100,63,47,72,89,64,57,0,2,86,97,92,0,55,32,0,80,92,33,51,0,74,31,100,100,87,71,0,0,0,91,0,0,30,30,60,100,0,81,60,69,42,0,100,66,0,83,25,73,84,0,65,0,0,97,100,53,81,100,49,81,100,95,27
Tennessee,2008,8,93,58,94,73,26,22,17,30,31,70,81,82,91,38,48,54,80,83,85,38,97,80,63,0,3,85,92,89,0,52,47,0,70,88,45,58,0,69,70,82,55,80,69,14,39,0,73,45,52,52,58,29,81,20,74,91,61,58,26,31,29,87,83,52,75,82,79,72,30,0,89,71,73,59,61,31,94,37,88,36
Texas,2008,6,80,49,70,72,29,34,29,31,35,65,75,73,76,32,45,46,58,66,50,32,82,57,50,12,8,75,79,74,9,78,55,0,56,73,48,75,2,66,59,73,39,68,78,4,32,0,56,39,58,60,41,30,73,10,66,63,42,75,19,29,27,14,61,29,85,67,28,58,15,0,86,60,44,52,48,27,77,38,88,43
Utah,2008,6,67,37,88,58,50,59,40,63,63,66,79,65,74,47,33,51,66,59,48,60,84,94,39,100,6,60,87,72,58,70,66,0,54,73,72,91,0,73,63,55,46,61,98,23,52,0,68,0,100,100,46,33,74,0,75,67,59,53,25,21,19,0,82,35,67,50,0,49,65,0,87,71,58,59,66,22,77,30,76,46
Vermont,2008,6,69,0,51,53,48,0,0,100,58,42,85,82,68,0,36,81,33,39,0,0,68,56,46,0,0,88,85,83,0,68,29,0,54,81,55,58,0,100,39,54,53,75,87,100,0,0,71,0,0,37,0,25,91,0,67,79,75,44,0,63,82,0,82,0,52,0,0,69,0,0,82,61,36,85,62,57,63,53,57,100
Virginia,2008,9,70,28,58,45,31,28,27,27,30,50,59,55,66,23,33,65,39,43,34,30,56,46,33,18,100,43,62,62,12,47,48,0,39,52,32,66,3,49,50,52,27,48,65,5,27,0,41,23,47,46,31,22,55,4,54,45,36,59,14,26,17,39,45,24,66,46,16,45,23,0,69,39,38,47,46,19,51,30,61,41
Washington,2008,6,70,42,74,57,87,76,34,65,40,60,83,67,71,25,50,33,53,58,43,17,74,66,42,21,1,62,78,69,32,79,55,0,41,76,47,69,0,67,54,61,42,58,81,6,43,29,61,50,66,57,37,31,66,13,69,68,44,100,28,18,26,39,69,26,72,58,36,48,27,0,94,57,50,56,58,24,65,41,72,68
West Virginia,2008,7,98,100,58,78,35,0,0,0,14,61,78,82,100,100,100,79,51,100,88,0,97,81,80,0,0,97,100,100,0,38,34,0,100,100,57,42,0,69,65,75,32,90,69,0,84,0,80,0,0,28,51,68,72,0,76,92,100,33,100,0,75,0,80,57,68,81,0,21,0,0,85,87,100,49,76,62,83,43,78,28
Wisconsin,2008,7,98,48,81,62,67,40,52,45,43,52,86,77,75,32,53,46,56,59,45,39,77,91,43,57,1,78,92,84,55,65,32,0,49,80,55,49,0,74,46,60,35,68,74,16,47,0,67,53,60,48,45,41,78,41,79,72,54,64,30,24,27,0,83,27,62,49,31,53,31,0,85,64,56,47,56,36,70,55,73,41
Wyoming,2008,3,92,0,48,83,35,0,0,67,45,76,79,61,76,0,0,79,64,82,0,0,75,82,85,0,7,96,69,81,0,45,35,0,55,80,100,54,0,75,59,72,48,59,75,0,0,0,90,0,0,37,45,100,79,0,70,91,49,47,0,0,100,0,56,0,59,0,0,98,0,0,87,83,62,70,50,37,72,57,73,53
Alabama,2009,8,85,23,75,66,25,0,0,13,46,71,83,84,86,53,54,31,88,92,73,46,98,56,88,0,2,66,80,93,6,47,57,0,65,57,33,63,0,84,77,89,59,78,72,10,12,52,78,33,73,53,75,52,79,23,66,65,65,39,47,51,30,0,75,54,77,68,100,82,47,0,80,67,65,50,62,58,100,36,91,28
Alaska,2009,3,81,0,48,48,38,0,0,27,47,64,73,58,72,0,22,23,69,57,0,0,74,47,82,0,1,57,80,76,28,47,40,0,59,56,40,58,0,80,52,68,39,57,86,0,0,33,41,0,0,44,62,75,62,75,45,64,45,100,0,65,64,0,53,0,69,0,0,41,0,0,85,71,60,61,62,53,73,32,72,54
Arizona,2009,5,84,23,65,60,56,100,52,54,55,74,87,83,76,46,50,26,68,63,54,31,86,55,43,48,4,61,73,80,4,97,89,24,45,67,38,66,19,83,69,69,61,68,80,4,38,58,56,59,61,54,59,57,68,30,72,66,61,77,32,27,17,67,61,44,74,84,50,51,59,0,94,75,73,59,54,44,79,36,80,69
Arkansas,2009,4,83,76,72,72,37,0,0,34,46,72,84,73,77,29,42,49,91,84,80,25,92,62,62,0,3,59,81,93,16,52,66,0,50,68,36,56,0,77,72,82,61,74,71,18,44,83,60,58,0,29,54,74,79,42,63,65,70,42,41,100,70,0,68,54,91,63,0,63,100,0,86,72,69,67,32,23,89,30,88,31
California,2009,5,59,23,46,41,46,52,55,38,44,47,63,53,61,28,24,35,43,38,28,15,53,40,28,34,58,41,53,59,10,65,56,5,33,48,29,56,3,63,51,50,32,43,69,4,26,32,37,22,55,39,28,42,43,10,47,47,42,60,16,24,24,21,40,22,72,44,22,32,20,0,73,49,41,47,59,30,46,26,56,65
Colorado,2009,6,64,30,63,61,63,79,75,72,76,63,85,70,68,36,35,19,66,58,48,14,80,57,35,24,2,61,81,78,7,84,55,24,42,70,31,61,0,82,55,59,47,55,82,8,20,58,54,36,81,58,39,44,80,33,69,60,53,80,26,32,19,100,72,46,77,43,0,48,20,0,94,63,55,47,51,45,71,41,81,95
Connecticut,2009,10,81,32,61,76,45,43,54,39,46,65,87,85,72,34,41,34,69,55,39,15,75,70,50,0,3,70,78,90,15,77,87,0,48,68,29,83,15,80,58,77,52,64,89,13,47,45,56,0,71,51,37,56,60,45,62,67,65,63,30,35,38,34,62,24,71,64,0,45,36,0,83,66,67,67,65,28,66,38,84,76
Delaware,2009,9,56,100,74,64,49,0,0,44,45,92,94,86,98,35,38,36,81,49,58,0,75,92,53,0,2,63,86,94,45,60,78,0,59,94,89,75,0,87,87,61,62,70,83,51,0,79,66,0,0,58,70,66,60,0,80,81,100,72,0,51,100,0,63,69,70,75,0,40,0,0,91,63,85,60,39,28,70,33,89,59
District of Columbia,2009,23,70,38,69,63,45,0,57,43,44,56,90,75,72,26,28,21,69,56,40,22,70,61,54,24,4,59,77,80,6,68,96,0,38,54,26,92,10,77,71,58,50,58,78,8,25,36,44,0,0,61,36,66,59,26,70,67,57,73,29,24,19,0,58,46,79,68,0,42,23,0,80,57,53,45,67,46,67,37,76,74
Florida,2009,4,77,33,59,61,44,47,33,33,56,76,75,80,72,42,41,27,67,70,55,29,87,57,48,23,10,66,74,85,6,66,81,0,51,61,36,75,7,84,81,75,55,67,76,9,29,48,54,31,64,52,45,44,66,16,58,66,52,72,30,46,19,17,58,45,81,82,37,46,33,0,88,66,64,53,57,37,83,36,82,47
Georgia,2009,6,79,37,62,63,42,39,47,31,46,65,78,78,74,39,29,29,70,67,61,27,83,50,59,14,5,73,76,85,6,68,80,0,48,59,36,66,6,80,76,75,48,64,77,5,22,38,53,29,61,47,44,41,79,17,63,66,58,60,13,40,35,13,62,46,80,81,38,54,36,0,83,64,59,45,64,38,89,37,87,45
